sample_id,paper_id,venue,year,title,source_url,abstract_present,abstract,label_complete,label_uncontaminated,label_matches_paper,reviewer,decision_mode,notes
1,journals/csur/AbdullahZA26,ACM Computing Surveys,2026,A Comprehensive Review on UAV Control Systems: From Linear to Intelligent Approaches.,https://doi.org/10.1145/3809483,True,"This review article provides a comprehensive analysis of the control systems for Unmanned Aerial Vehicles (UAVs), focusing on current trends and future directions. The primary objective is to synthesize recent advancements, evaluate emerging technologies, and identify future research pathways in UAV control systems. The review article includes various UAV types, control system types and architectures, some key technologies, and also the actuators and sensor faults in UAVs. Key findings include advancements in autonomous navigation, Swarm UAVs, and the integration of artificial intelligence and machine learning (AI and ML) techniques. Hybrid control systems are another emerging mechanism that integrates different control strategies to optimize performance. Advancements in sensor technology, communication systems, and AI are driving the evolution of UAV control systems. The applications of UAVs presented in this article demonstrate the versatility and growing importance of UAVs across various sectors. Furthermore, some challenges and limitations of control algorithms are also presented. Future directions include advanced hybrid models, enhanced AI integration, hardware in the loop (HIL) simulations, brain-computer interface (BCI) remote control, and emerging optical communication technologies are also discussed. Sustainable UAV operations and evolving regulatory frameworks will play critical roles in shaping the future landscape of UAV control systems.",yes,yes,yes,Sidnei Barbieri,human_only,
2,journals/csur/GhasempouriB26,ACM Computing Surveys,2026,Generative Models for Context-Aware Recommender Systems: A Survey.,https://doi.org/10.1145/3816031,True,"Recommender systems have become integral to personalized content delivery, with deep learning (DL) techniques substantially improving their accuracy and scalability. We examine the integration of generative models into context-aware recommender systems, addressing challenges related to dynamic, partially observable, and latent user contexts. Moreover, we present foundational definitions of context, strategies for incorporating contextual cues, and the role of sequential and interactive generative systems in enhancing recommendation quality. Finally, we explore how generative models enable richer representations of user behaviors and facilitate generating and evaluating contextually relevant recommendations.",yes,yes,yes,Sidnei Barbieri,human_only,
3,journals/csur/TanisGMM26,ACM Computing Surveys,2026,Introduction to Graph Neural Networks for Machine Learning Engineers.,https://doi.org/10.1145/3816725,True,"Graph neural networks are deep neural networks designed for graphs with attributes attached to nodes or edges. The number of research papers in the literature concerning these models is growing rapidly due to their impressive performance on a broad range of tasks. This survey introduces graph neural networks through the encoder-decoder framework and provides examples of decoders for a range of graph analytic tasks. It uses theory and numerous experiments on homogeneous graphs to illustrate the behavior of graph neural networks under different training sizes and degrees of graph complexity, with an emphasis on oversmoothing and oversquashing.",yes,yes,yes,Sidnei Barbieri,human_only,
4,journals/csur/XuLZYGJLYZLG26,ACM Computing Surveys,2026,"A Survey on Active Learning in Visual Semantic Segmentation: Significance, Challenges, and Prospects.",https://doi.org/10.1145/3816242,True,"In recent years, deep-learning-based visual semantic segmentation tasks have made significant advancements in performance. However, training such deep learning models requires a substantial amount of point-level or pixel-level annotations, which is time-consuming and labour-intensive to acquire. Active learning is an effective learning scheme that enables neural networks achieving maximum performance using a small annotation budget. Recently, many visual semantic segmentation methods have employed active learning strategies to promote promising performance with limited annotations. This article provides a systematic categorization and comprehensive review of active learning strategies in visual semantic segmentation. First, we briefly introduce the concepts of visual semantic segmentation and active learning, and elicit the significance of active learning in visual semantic segmentation. We then discuss active learning methods for 2D image and 3D point cloud semantic segmentation tasks, respectively. For each task, we provide a detailed analysis of the approaches across three levels of query granularity: image (or point clouds) level, region (or superpoint) level, and pixel (or point) level. Finally, we present the challenges and potential future research directions for active learning in this field.",yes,yes,yes,Sidnei Barbieri,human_only,
5,conf/sacmat/EdwardsM26,ACM SACMAT,2026,"LLMs as PDPs Within a Smart-Home Environment: Accuracy, Ambiguity, and Latency [Work in Progress Paper].",https://doi.org/10.1145/3750555.3811905,True,"Access control is becoming increasingly important in smart-home environments as more homeowners incorporate smart devices. Unfortunately, smart-home access control systems are complex to create and maintain for non-technical admins. With the rise in LLM performance and adoption, this paper proposes a new workflow in which an LLM serves as a PDP (Policy Decision Point), taking natural-language access policies alongside a structured device request and returning a decision. The new workflow was tested across 2 levels of smart-home complexity, with 11 instances per level, and the results show that in a small, well-specified smart-home environment, mid- and large-scale models can function as effective PDPs, achieving near-perfect macro-F1 scores (up to 0.998). However, under ambiguous queries, the models' performance degrades, revealing non-deterministic ''repair'' behaviour and conservative use of Unknown. Overall, this paper demonstrates that given a small smart-home environment, LLMs can operate as PDPs; however, ambiguity handling and runtime costs remain key challenges for real-world implementation.",yes,yes,yes,Sidnei Barbieri,human_only,
6,conf/sacmat/LuoXFLQO26,ACM SACMAT,2026,An Adaptive Image Reversible Data Hiding Scheme based on Differential Evolution.,https://doi.org/10.1145/3750555.3811886,True,"Reversible data hiding techniques have garnered increasing scholarly attention for their capacity to generate high-fidelity watermarked images while enabling lossless restoration of the original images. Pixel value ordering (PVO) stands as a pivotal reversible data embedding approach that adeptly leverages pixel sequencing within an image block to facilitate high-fidelity image embedding and reversible retrieval. The efficacy of PVO-based methodologies hinges on the block size and classification thresholds. Nonetheless, many techniques ascertain the appropriate parameters through exhaustive searches within confined search spaces, demanding significant computational time. This paper introduces a novel pixel value ordering method based on differential evolution (PVO-DE) to address these challenges more effectively. PVO-DE dynamically identifies the optimal or suitable block size and threshold based on distinct images and embedding quantities, thereby optimizing image utilization and reducing time expenditures. Furthermore, a complexity algorithm, fused with the differential evolution algorithm, is proposed to harness the strengths of diverse complexity algorithms and pinpoint the algorithm most conducive to the current image for optimal performance. Results demonstrate a reduction in computational costs for determining the optimal parameter set, alongside enhanced performance of marked images compared to prior approaches.",yes,yes,yes,Sidnei Barbieri,human_only,
7,conf/sacmat/NiroulaBPH26,ACM SACMAT,2026,Calypso: Fine-Grained Access Control for Zero-Trust Cloud Service Discovery.,https://doi.org/10.1145/3750555.3811897,True,"Modern clouds have embraced zero-trust at the application layer via service meshes, yet the cluster-wide discovery plane---DNS servers and their key-value backends---remains implicitly trusted. % As a result, service names and addresses are exposed to any workload, enabling unauthorized enumeration and undetectable tampering if the directory is compromised. We present Calypso, a DNS-compatible service-discovery system that extends zero-trust data-plane protections to cloud-based service discovery by hiding both record contents and service names. Calypso treats the directory as an untrusted conduit: it stores only ciphertexts and RSA-based salted hashes, and performs equality matching over obfuscated names. Our design composes hierarchical identity-based encryption with an obfuscated-name matching scheme so that (i) only authorized clients learn record plaintexts and the existence of matching names, and (ii) unauthorized parties---including a fully compromised directory---cannot enumerate names or undetectably modify records. % We implement Calypso in CoreDNS with an etcd backend, preserving existing operational workflows and client APIs. Our prototype demonstrates that Calypso is deployable with modest lookup-latency overheads and negligible server resource impact, while providing authenticity, end-to-end confidentiality, tamper evidence, and name hiding not available in today's discovery stacks.",yes,yes,yes,Sidnei Barbieri,human_only,
8,conf/sacmat/ZhangCLNLLF26,ACM SACMAT,2026,Practical Poisoning Attacks against Retrieval-Augmented Generation.,https://doi.org/10.1145/3750555.3811900,True,"Large language models (LLMs) have demonstrated impressive natural language processing abilities but face challenges such as hallucination and outdated knowledge. Retrieval-Augmented Generation (RAG) has emerged as a state-of-the-art approach to mitigate these issues. While RAG enhances LLM outputs, it remains vulnerable to poisoning attacks. Recent studies show that injecting poisoned texts into the knowledge database can compromise RAG systems, but most existing attacks assume that the attacker can insert a sufficient number of poisoned texts per query to outnumber correct-answer texts in retrieval, an assumption that is often unrealistic. To address this limitation, we propose CorruptRAG, a practical poisoning attack against RAG systems in which the attacker injects only a single poisoned text, enhancing both feasibility and stealth. Extensive experiments conducted on multiple large-scale datasets demonstrate that CorruptRAG achieves higher attack success rates than existing baselines.",yes,yes,yes,Sidnei Barbieri,human_only,
9,journals/comsur/ChuLAM26,IEEE Communications Surveys & Tutorials,2026,"Adopting Multi-RAT Communication in Healthcare Internet of Things: Taxonomies, Open Issues, and Research Directions.",https://doi.org/10.1109/COMST.2026.3712084,True,"Recent advancements in Internet technologies, including Network Function Virtualization (NFV) and Software-Defined Networking (SDN), have driven transformative changes across multiple sectors, notably in e-Healthcare, smart cities, industrial automation, and intelligent transportation systems. Central to this evolution is the Internet of Things (IoT), which enables pervasive sensing, real-time data collection, and intelligent decision-making. In particular, the Healthcare IoT (H-IoT) domain has seen rapid growth, supporting critical applications such as telemedicine, remote diagnostics, and continuous patient monitoring. These applications impose stringent communication requirements, low latency, high reliability, scalability, and efficient bandwidth utilization, that challenge conventional network infrastructures. Emerging communication technologies like 5G and beyond aim to address these demands through features such as ultra-reliable low-latency communication (URLLC). However, the potential of multi-Radio Access Technologies (multi-RAT) to complement these efforts remains underexplored, particularly in dynamic and heterogeneous H-IoT environments. This paper revisits the H-IoT literature, focusing on multi-RAT adoption, which holds the potential to enhance communication capabilities significantly. By analyzing the current state of H-IoT implementations and identifying gaps in the literature, this study highlights the benefits of multi-RAT technologies and proposes a dual-stage approach to integrate these technologies effectively. This approach includes a comprehensive review of existing technologies, followed by a presentation of new research directions aimed at exploiting the underutilized potentials of multi-RAT in the H-IoT domain. Through this work, we aim to inspire further research and practical applications that harness the full capabilities of multi-RAT, thereby advancing the field of healthcare IoT.",yes,yes,yes,Sidnei Barbieri,human_only,
10,conf/eurosp/ChowdhuryAB26,IEEE EURO S&P,2026,High Impedance: Analysis of Publicly Disclosed Vulnerabilities in FPGA IP Cores.,https://doi.org/10.1109/EuroSP68448.2026.00078,True,"Field-Programmable Gate Arrays (FPGAs) facilitate a write-compile-debug cycle for digital circuits, resembling modern software development. Crucially, FPGA circuits comprise modules that can be re-used across projects. Many generic modules are available from commercial and open-source vendors as Intellectual Property (IP) cores.However, using third-party IP cores in FPGA designs poses critical supply chain security risks: FPGAs are increasingly being used in security- and safety-critical applications like automotive driver assistance or core networking. Thus, vulnerabilities in any component—homegrown or licensed—can have far-reaching consequences.While susceptibility of FPGA IP to security-critical implementation bugs has been shown in the literature, the prevalence and management of security vulnerabilities in FPGA IP has never been studied quantitatively. In this paper, we present the first measurement study covering 19 representative IP cores with 1250 total known issues over three commercial vendors and one open-source vendor. We classify 284 issues as security critical, predominantly affecting availability (134) and integrity (184). We analyze the survivability of these vulnerabilities and their mitigations. We find that mean-time-to-fix is between 5 and 12 months for commercial vendors, with outliers of up to 70 months, and no available mitigations for certain vulnerabilities. Specifically, 14 issues have fixes that support fewer FPGA devices than the vulnerable version, including 11 issues that vendors themselves label as critical but for which no workaround exists. We conclude with concrete recommendations for the industry, based on lessons learned from software vulnerability management.",yes,yes,yes,Sidnei Barbieri,human_only,
11,conf/eurosp/DasRCG26,IEEE EURO S&P,2026,BiSON: Billion-Scale Oblivious Nearest-Neighbor Search in Milliseconds.,https://doi.org/10.1109/EuroSP68448.2026.00021,True,"Semantic search over vector databases is a fundamental problem in both theory and practice, with large-scale systems relying on approximate nearest-neighbor (ANN) algorithms to retrieve semantically similar results efficiently. Achieving this capability securely while keeping both data and queries hidden remains a major challenge. Existing secure semantic search systems incur high latency and fail to scale to realistic database sizes.We present BiSON , the first secure nearest-neighbor search protocol capable of supporting billion-scale encrypted vector databases. Even at this scale, BiSON answers queries in mere milliseconds and maintains search accuracy comparable to state-of-the-art insecure ANN algorithms, demonstrating that secure semantic search can be both private and truly high-performance. Compared to Compass, the prior state-of-the-art system, BiSON reduces communication up to 28×, improves end-to-end latency by up to 23.5×, and scales to datasets that are two orders of magnitude larger.A central contribution of BiSON is a new disk-compatible Oblivious RAM (ORAM) architecture that enables seamless scaling to billion-point datasets without compromising latency or privacy. Together, these innovations make BiSON the first practical and scalable solution for secure semantic search at cloud scale.",yes,yes,yes,Sidnei Barbieri,human_only,
12,conf/eurosp/FuNZHW26,IEEE EURO S&P,2026,Revisiting Privacy Leakage in Machine Unlearning: Membership Inference Beyond the Forgotten Set.,https://doi.org/10.1109/EuroSP68448.2026.00044,True,"Machine unlearning (MU) has emerged as a key mechanism for ensuring data privacy and regulatory compliance by enabling models to forget specific training samples. However, recent studies have shown that the removal of data can inadvertently introduce privacy leakages to the retain set, i.e., data that remain in the model after unlearning. In this paper, we extend the scope of privacy analysis in unlearning to the often-overlooked retained data. We introduce TCUMIA, the first tri-class unlearning membership inference attack. TC-UMIA is a population-level inference framework that leverages model predictions before and after unlearning to distinguish among the forget, retain, and unseen set. Extensive experiments on five state-of-the-art unlearning algorithms and six real-world datasets demonstrate that: (i) unlearning can introduce additional privacy risks to the retain set, making it more susceptible to membership inference attacks; (ii) TC-UMIA is effective across a wide range of model architectures, datasets, and MU approaches. Beyond launching the attack, we rigorously evaluate three defense mechanisms, namely label-only outputs, dropout, and differential privacy, to mitigate the privacy risks posed by TC-UMIA. Our results reveal a fundamental trade-off between privacy protection and model accuracy, with the dropout approach offering the most favorable balance.1",yes,yes,yes,Sidnei Barbieri,human_only,
13,conf/eurosp/KhucSDLRFK26,IEEE EURO S&P,2026,"Adaptor Multi-Signatures: Definition, Applications and Construction from Cryptographic Group Actions.",https://doi.org/10.1109/EuroSP68448.2026.00015,True,"Adaptor signatures extend standard digital signatures by introducing a pre-signature, which can be trans-formed into a full signature upon revealing a secret witness. This property enables conditional transactions in blockchain applications, such as payment channels and oracle-based transfers. However, existing constructions are primarily limited to two-party settings, which restricts scalability in decentralized systems. In this work, we propose adaptor multi signatures, a scalable framework that allows multiple signers to jointly produce and adapt a single signature on a shared message. We define the formal security model, capturing both full extractability, ensuring unforgeability and witness extraction, and unlinkability, which prevents distinguishing adapted signatures from standard ones. We present a concrete construction based on general group actions, supporting both commutative and noncommutative settings. Our design introduces a Double Layer technique that cleanly separates signature generation from witness embedding while preserving strong security guarantees. The framework is compatible with a wide class of algebraic assumptions, including recent quantum secure candidates such as LESS, MEDS, ALTEQ, and CSI-FiSh. We prove that the scheme satisfies full extractability and unlinkability under standard group action assumptions, making it suitable for decentralized and quantum resistant applications.",yes,yes,yes,Sidnei Barbieri,human_only,
